mes,grupo,modelo_id,ganancia_test
202106,rolling_01,rolling_01_seed1,379200000.0
202106,rolling_02,rolling_02_seed1,381600000.0
202106,rolling_03,rolling_03_seed1,378400000.0
202106,rolling_04,rolling_04_seed1,344000000.0
202106,rolling_05,rolling_05_seed1,341600000.0
202106,rolling_06,rolling_06_seed1,386400000.0
202106,rolling_07,rolling_07_seed1,360000000.0
202106,seasonal_summer,seasonal_summer_seed1,372800000.0
202106,seasonal_autumn,seasonal_autumn_seed1,349600000.0
202106,seasonal_winter,seasonal_winter_seed1,368000000.0
202106,seasonal_spring,seasonal_spring_seed1,355200000.0
202106,seasonal_end_of_year,seasonal_end_of_year_seed1,355200000.0
202106,seasonal_q1,seasonal_q1_seed1,374400000.0
202106,seasonal_q2,seasonal_q2_seed1,372800000.0
202106,mixed_recent_01,mixed_recent_01_seed1,340000000.0
202106,mixed_recent_02,mixed_recent_02_seed1,327200000.0
202106,mixed_early_01,mixed_early_01_seed1,376800000.0
202106,mixed_early_02,mixed_early_02_seed1,374400000.0
202106,mixed_transition,mixed_transition_seed1,361600000.0
202106,mixed_full_year,mixed_full_year_seed1,357600000.0
202106,GLOBAL,ensamble_global,406400000.0
202106,GRUPOS,ensamble_grupos,406400000.0
