numero_de_cliente,probabilidad,predict
698013750,0.9745677,1
1348083332,0.97181416,1
254907010,0.96711874,1
1458151719,0.9666821,1
345764726,0.9666656,1
786630854,0.9661236,1
1233370816,0.96438485,1
1382882160,0.96437186,1
1358812005,0.96297467,1
1488905496,0.9592573,1
1135779596,0.9591629,1
1152785170,0.9583019,1
985463211,0.9575821,1
1053489572,0.95637685,1
1070067212,0.95558107,1
1327182802,0.9539833,1
1224868836,0.95348567,1
796511591,0.95134604,1
1113865895,0.9510182,1
1216464499,0.94934255,1
640659315,0.9451207,1
990609528,0.9447781,1
1323098521,0.9439624,1
706621333,0.943508,1
608525679,0.94277924,1
894415665,0.94201326,1
661551749,0.94196683,1
973594039,0.94147605,1
864867586,0.94064933,1
259309251,0.93914855,1
1198560681,0.9387158,1
552491803,0.938659,1
1127869052,0.93738383,1
808609243,0.93569297,1
777470119,0.9344555,1
961886397,0.9331668,1
889464941,0.9303061,1
892102199,0.93004495,1
1547273547,0.9295734,1
1356773835,0.92927027,1
687052369,0.9286803,1
311680734,0.927973,1
258808387,0.9266698,1
902482861,0.9263336,1
1112973262,0.9259164,1
1250169634,0.92578715,1
1202349394,0.9251663,1
653678763,0.9236066,1
823297125,0.92350084,1
1201785516,0.92263687,1
1113578268,0.92238474,1
273908670,0.9222717,1
690003736,0.92220324,1
1000849728,0.92192584,1
604559032,0.9213213,1
845233653,0.9206945,1
478620847,0.9206799,1
1235133605,0.92031735,1
992045390,0.92015857,1
519484867,0.9198016,1
571851534,0.91851217,1
334778486,0.9182704,1
781851942,0.91806537,1
1198503149,0.91684836,1
888232760,0.9167696,1
320600734,0.9138439,1
744058434,0.9135494,1
1006693084,0.9129999,1
1062593134,0.9122505,1
1463106088,0.9121769,1
280104990,0.91001016,1
270699224,0.9093765,1
658350101,0.9092786,1
456161423,0.90754396,1
306285953,0.9068014,1
654154538,0.90670747,1
1161230412,0.9065094,1
721189607,0.9062309,1
817861209,0.9049512,1
994389411,0.90342885,1
349336325,0.9025569,1
1192098835,0.90239936,1
585683751,0.90192336,1
1243596721,0.90074235,1
710322376,0.9007181,1
563717249,0.900287,1
279850258,0.9001807,1
278472295,0.8995846,1
438065957,0.8991722,1
901895430,0.8985349,1
355539870,0.89849997,1
1223440770,0.8975655,1
721783084,0.8974236,1
998205972,0.89649355,1
755448774,0.89445865,1
1231095199,0.8937095,1
1000685202,0.8931115,1
584174379,0.8928062,1
1044843484,0.89271325,1
1168266999,0.8925889,1
1472402469,0.8925551,1
1169057309,0.8922407,1
559271250,0.8903866,1
934566173,0.89019406,1
469710181,0.8900016,1
1223131931,0.88888395,1
1469808379,0.88886464,1
349489989,0.888511,1
560770554,0.8873426,1
332068803,0.88676167,1
620115832,0.8854346,1
679809112,0.88543,1
960841355,0.88464564,1
517465374,0.883708,1
839427641,0.88272476,1
830774260,0.8822489,1
1131555954,0.8799189,1
783944510,0.87939453,1
1179923514,0.87901306,1
1236309706,0.8784401,1
1049679792,0.87563485,1
563797027,0.87516034,1
315375723,0.87511694,1
614558130,0.87488997,1
457966219,0.8748673,1
266616403,0.87471247,1
465680374,0.87456,1
566422987,0.87451947,1
282315406,0.87418807,1
1440838176,0.87377083,1
306652778,0.87363034,1
635099205,0.87332994,1
1010399747,0.87309706,1
603728389,0.8726476,1
1024450309,0.872499,1
273019180,0.87132996,1
488872935,0.87119067,1
951539074,0.8704611,1
983005783,0.87043124,1
1000163117,0.8703667,1
638441239,0.86956966,1
959344895,0.8695194,1
477328581,0.86945784,1
840928986,0.86866504,1
341405363,0.868481,1
495191407,0.86844987,1
650007395,0.8675566,1
1249442553,0.8672689,1
330724102,0.86699474,1
889981843,0.8668337,1
995661549,0.86555445,1
1198583004,0.8650538,1
576147302,0.8645298,1
334868034,0.8640563,1
1222748992,0.86298245,1
787353922,0.86246693,1
439390973,0.8619188,1
900939355,0.8617209,1
894719337,0.8613675,1
559810030,0.8604376,1
596633902,0.8599911,1
1325996283,0.8593456,1
274914992,0.85934144,1
636828527,0.8589505,1
777072082,0.8586582,1
1094942851,0.85833055,1
1301383539,0.8580219,1
842621263,0.8579749,1
1234207214,0.8578056,1
1129172992,0.8574459,1
276343562,0.857434,1
681912551,0.85737693,1
1168793901,0.8567959,1
1089552153,0.856748,1
662068292,0.8559562,1
957095162,0.8555301,1
779012668,0.855055,1
1075552710,0.8545977,1
464422087,0.8542935,1
674915118,0.85423934,1
1211026763,0.8539896,1
353023962,0.85384095,1
1199448353,0.85362655,1
799055655,0.85343665,1
1526510558,0.8533431,1
851521280,0.85297215,1
454549155,0.8529304,1
719356587,0.85245323,1
1095641786,0.85222244,1
886267597,0.8520578,1
1462059365,0.8520147,1
809215633,0.8518809,1
615199959,0.8518425,1
853067774,0.85176754,1
1070520236,0.8516105,1
1318395168,0.85077536,1
654555709,0.8505621,1
296733526,0.85045767,1
1215010037,0.85035676,1
251404617,0.8497181,1
1489729137,0.8495653,1
1224089969,0.84954756,1
779846086,0.8493374,1
825106148,0.84853876,1
964454380,0.8483623,1
352906984,0.848025,1
901949760,0.84781635,1
715237805,0.8471368,1
293245719,0.8470479,1
1357857024,0.8467727,1
804186438,0.84617156,1
273950532,0.8460994,1
1112472330,0.8457922,1
1291643042,0.8456093,1
1207471134,0.8449799,1
513476046,0.84438455,1
300318182,0.8443669,1
1124826097,0.84428275,1
755000054,0.8435561,1
713605921,0.8433526,1
