numero_de_cliente,probabilidad
698013750,0.9745677
1348083332,0.97181416
254907010,0.96711874
1458151719,0.9666821
345764726,0.9666656
786630854,0.9661236
1233370816,0.96438485
1382882160,0.96437186
1358812005,0.96297467
1488905496,0.9592573
1135779596,0.9591629
1152785170,0.9583019
985463211,0.9575821
1053489572,0.95637685
1070067212,0.95558107
1327182802,0.9539833
1224868836,0.95348567
796511591,0.95134604
1113865895,0.9510182
1216464499,0.94934255
640659315,0.9451207
990609528,0.9447781
1323098521,0.9439624
706621333,0.943508
608525679,0.94277924
894415665,0.94201326
661551749,0.94196683
973594039,0.94147605
864867586,0.94064933
259309251,0.93914855
1198560681,0.9387158
552491803,0.938659
1127869052,0.93738383
808609243,0.93569297
777470119,0.9344555
961886397,0.9331668
889464941,0.9303061
892102199,0.93004495
1547273547,0.9295734
1356773835,0.92927027
687052369,0.9286803
311680734,0.927973
258808387,0.9266698
902482861,0.9263336
1112973262,0.9259164
1250169634,0.92578715
1202349394,0.9251663
653678763,0.9236066
823297125,0.92350084
1201785516,0.92263687
1113578268,0.92238474
273908670,0.9222717
690003736,0.92220324
1000849728,0.92192584
604559032,0.9213213
845233653,0.9206945
478620847,0.9206799
1235133605,0.92031735
992045390,0.92015857
519484867,0.9198016
571851534,0.91851217
334778486,0.9182704
781851942,0.91806537
1198503149,0.91684836
888232760,0.9167696
320600734,0.9138439
744058434,0.9135494
1006693084,0.9129999
1062593134,0.9122505
1463106088,0.9121769
280104990,0.91001016
270699224,0.9093765
658350101,0.9092786
456161423,0.90754396
306285953,0.9068014
654154538,0.90670747
1161230412,0.9065094
721189607,0.9062309
817861209,0.9049512
994389411,0.90342885
349336325,0.9025569
1192098835,0.90239936
585683751,0.90192336
1243596721,0.90074235
710322376,0.9007181
563717249,0.900287
279850258,0.9001807
278472295,0.8995846
438065957,0.8991722
901895430,0.8985349
355539870,0.89849997
1223440770,0.8975655
721783084,0.8974236
998205972,0.89649355
755448774,0.89445865
1231095199,0.8937095
1000685202,0.8931115
584174379,0.8928062
1044843484,0.89271325
1168266999,0.8925889
1472402469,0.8925551
1169057309,0.8922407
559271250,0.8903866
934566173,0.89019406
469710181,0.8900016
1223131931,0.88888395
1469808379,0.88886464
349489989,0.888511
560770554,0.8873426
332068803,0.88676167
