numero_de_cliente,probabilidad
698013750,0.9745677
1348083332,0.97181433
254907010,0.9671187
1458151719,0.96668214
345764726,0.9666658
786630854,0.96612376
1233370816,0.96438456
1382882160,0.9643718
1358812005,0.9629747
1488905496,0.9592575
1135779596,0.9591629
1152785170,0.9583018
985463211,0.9575822
1053489572,0.95637697
1070067212,0.9555815
1327182802,0.9539831
1224868836,0.9534857
796511591,0.951346
1113865895,0.9510184
1216464499,0.9493425
640659315,0.94512093
990609528,0.9447781
1323098521,0.94396245
706621333,0.94350785
608525679,0.9427795
894415665,0.9420133
661551749,0.94196683
973594039,0.9414761
864867586,0.94064933
259309251,0.9391487
1198560681,0.9387161
552491803,0.9386591
1127869052,0.9373839
808609243,0.935693
777470119,0.9344555
961886397,0.93316674
889464941,0.9303061
892102199,0.9300449
1547273547,0.9295733
1356773835,0.92927027
687052369,0.9286802
311680734,0.9279731
258808387,0.9266698
902482861,0.9263335
1112973262,0.92591673
1250169634,0.92578715
1202349394,0.9251663
653678763,0.9236065
823297125,0.92350066
1201785516,0.9226369
1113578268,0.92238474
273908670,0.92227167
690003736,0.92220306
1000849728,0.921926
604559032,0.92132133
845233653,0.92069465
478620847,0.92068017
1235133605,0.9203173
992045390,0.9201587
519484867,0.9198015
571851534,0.918512
334778486,0.91827047
781851942,0.9180653
1198503149,0.9168481
888232760,0.9167695
320600734,0.91384375
744058434,0.9135492
1006693084,0.9129999
1062593134,0.9122507
1463106088,0.9121767
280104990,0.9100101
270699224,0.9093763
658350101,0.9092784
456161423,0.90754396
306285953,0.9068015
654154538,0.9067075
1161230412,0.90650946
721189607,0.90623116
817861209,0.90495116
994389411,0.90342873
349336325,0.90255713
1192098835,0.9023993
585683751,0.90192366
1243596721,0.9007424
710322376,0.9007181
563717249,0.9002869
279850258,0.9001809
278472295,0.89958453
438065957,0.8991723
901895430,0.8985348
355539870,0.89849997
1223440770,0.89756536
721783084,0.8974235
998205972,0.89649355
755448774,0.89445853
1231095199,0.89370954
1000685202,0.8931116
584174379,0.892806
1044843484,0.8927136
1168266999,0.89258903
1472402469,0.89255506
1169057309,0.8922405
559271250,0.89038664
934566173,0.890194
469710181,0.89000154
1223131931,0.88888407
1469808379,0.8888646
349489989,0.88851106
560770554,0.8873425
332068803,0.8867616
620115832,0.8854346
679809112,0.88542986
960841355,0.88464576
517465374,0.88370794
839427641,0.8827247
830774260,0.88224876
1131555954,0.8799189
783944510,0.8793943
1179923514,0.8790131
1236309706,0.8784401
1049679792,0.87563497
563797027,0.8751602
315375723,0.8751168
614558130,0.8748897
457966219,0.8748674
266616403,0.8747125
465680374,0.8745601
566422987,0.8745193
282315406,0.87418795
1440838176,0.87377083
306652778,0.87363034
635099205,0.87332994
1010399747,0.8730968
603728389,0.8726475
1024450309,0.8724992
273019180,0.87133
488872935,0.8711907
951539074,0.870461
983005783,0.8704311
1000163117,0.8703668
638441239,0.8695696
959344895,0.8695195
477328581,0.86945796
840928986,0.8686648
341405363,0.8684809
