mes,grupo,modelo_id,ganancia_test
202106,rolling_01,rolling_01_seed1,380000000.0
202106,rolling_01,rolling_01_seed2,376800000.0
202106,rolling_01,rolling_01_seed3,378400000.0
202106,rolling_02,rolling_02_seed1,382400000.0
202106,rolling_02,rolling_02_seed2,386400000.0
202106,rolling_02,rolling_02_seed3,380800000.0
202106,rolling_03,rolling_03_seed1,381600000.0
202106,rolling_03,rolling_03_seed2,376800000.0
202106,rolling_03,rolling_03_seed3,384800000.0
202106,rolling_04,rolling_04_seed1,344800000.0
202106,rolling_04,rolling_04_seed2,329600000.0
202106,rolling_04,rolling_04_seed3,343200000.0
202106,rolling_05,rolling_05_seed1,340800000.0
202106,rolling_05,rolling_05_seed2,342400000.0
202106,rolling_05,rolling_05_seed3,360000000.0
202106,rolling_06,rolling_06_seed1,380800000.0
202106,rolling_06,rolling_06_seed2,388800000.0
202106,rolling_06,rolling_06_seed3,378400000.0
202106,rolling_07,rolling_07_seed1,347200000.0
202106,rolling_07,rolling_07_seed2,342400000.0
202106,rolling_07,rolling_07_seed3,348800000.0
202106,seasonal_summer,seasonal_summer_seed1,381600000.0
202106,seasonal_summer,seasonal_summer_seed2,373600000.0
202106,seasonal_summer,seasonal_summer_seed3,384800000.0
202106,seasonal_autumn,seasonal_autumn_seed1,362400000.0
202106,seasonal_autumn,seasonal_autumn_seed2,355200000.0
202106,seasonal_autumn,seasonal_autumn_seed3,361600000.0
202106,seasonal_winter,seasonal_winter_seed1,356800000.0
202106,seasonal_winter,seasonal_winter_seed2,357600000.0
202106,seasonal_winter,seasonal_winter_seed3,366400000.0
202106,seasonal_spring,seasonal_spring_seed1,344800000.0
202106,seasonal_spring,seasonal_spring_seed2,348800000.0
202106,seasonal_spring,seasonal_spring_seed3,342400000.0
202106,seasonal_end_of_year,seasonal_end_of_year_seed1,352800000.0
202106,seasonal_end_of_year,seasonal_end_of_year_seed2,356000000.0
202106,seasonal_end_of_year,seasonal_end_of_year_seed3,364000000.0
202106,seasonal_q1,seasonal_q1_seed1,367200000.0
202106,seasonal_q1,seasonal_q1_seed2,371200000.0
202106,seasonal_q1,seasonal_q1_seed3,369600000.0
202106,seasonal_q2,seasonal_q2_seed1,377600000.0
202106,seasonal_q2,seasonal_q2_seed2,365600000.0
202106,seasonal_q2,seasonal_q2_seed3,353600000.0
202106,mixed_recent_01,mixed_recent_01_seed1,336000000.0
202106,mixed_recent_01,mixed_recent_01_seed2,339200000.0
202106,mixed_recent_01,mixed_recent_01_seed3,353600000.0
202106,mixed_recent_02,mixed_recent_02_seed1,328800000.0
202106,mixed_recent_02,mixed_recent_02_seed2,344000000.0
202106,mixed_recent_02,mixed_recent_02_seed3,357600000.0
202106,mixed_early_01,mixed_early_01_seed1,368800000.0
202106,mixed_early_01,mixed_early_01_seed2,371200000.0
202106,mixed_early_01,mixed_early_01_seed3,364000000.0
202106,mixed_early_02,mixed_early_02_seed1,379200000.0
202106,mixed_early_02,mixed_early_02_seed2,385600000.0
202106,mixed_early_02,mixed_early_02_seed3,380000000.0
202106,mixed_transition,mixed_transition_seed1,360000000.0
202106,mixed_transition,mixed_transition_seed2,348800000.0
202106,mixed_transition,mixed_transition_seed3,357600000.0
202106,mixed_full_year,mixed_full_year_seed1,353600000.0
202106,mixed_full_year,mixed_full_year_seed2,356800000.0
202106,mixed_full_year,mixed_full_year_seed3,371200000.0
202106,GLOBAL,ensamble_global,397600000.0
202106,GRUPOS,ensamble_grupos,397600000.0
